1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6,5,6,5,4,6,5,4,6,6,6,5,4,5,4,4,4,6,4,6,6,6,4,6,5,5,4,,,,,,,,,,,,,
4,6,5,4,6,5,6,5,4,5,5,4,6,4,6,6,6,4,5,4,5,5,6,4,4,6,5,,,,,,,,,,,,,
5,4,4,6,5,4,4,6,5,4,4,6,5,6,5,5,5,5,6,5,4,4,5,5,6,4,6,,,,,,,,,,,,,
1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,3,2,1,3,1,3,1,2,3,2,1,2,1,2,1,1,1,1,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
